Nuklid,e_inh,e_ing,LE,LA,CA
,[Sv/Bq],[Sv/Bq],[Bq/kg],[Bq],{Bq/m^3]
,,,,,
Te-129,5.70E-011,6.30E-011,2.00E+005,9.00E+007,1.00E+005
Te-129m,5.40E-009,3.00E-009,3.00E+003,9.00E+005,2.00E+003
Te-131,6.10E-011,8.70E-011,1.00E+005,8.00E+007,1.00E+005
Te-131m,1.60E-009,1.90E-009,5.00E+003,3.00E+006,5.00E+003
Te-132,3.00E-009,3.70E-009,3.00E+003,2.00E+006,3.00E+003
Te-133,4.40E-011,7.20E-011,1.00E+005,1.00E+008,2.00E+005
Te-133m,1.90E-010,2.80E-010,4.00E+004,3.00E+007,4.00E+004
Te-134,1.10E-010,1.10E-010,9.00E+004,5.00E+007,8.00E+004
,,,,,
,,,,,
I-120,1.90E-010,3.40E-010,3.00E+004,3.00E+007,4.00E+004
I-120m,1.40E-010,2.10E-010,5.00E+004,4.00E+007,6.00E+004
I-121,3.90E-011,8.20E-011,1.00E+005,1.00E+008,2.00E+005
I-123,1.10E-010,2.10E-010,5.00E+004,5.00E+007,8.00E+004
I-124,6.30E-009,1.30E-008,8.00E+002,8.00E+005,1.00E+003
I-125,7.30E-009,1.50E-008,7.00E+002,7.00E+005,1.00E+003
I-126,1.40E-008,2.90E-008,3.00E+002,4.00E+005,6.00E+002
I-128,2.20E-011,4.60E-011,2.00E+005,2.00E+008,4.00E+005
I-129,5.10E-008,1.10E-007,9.00E+001,1.00E+005,2.00E+002
I-130,9.60E-010,2.00E-009,5.00E+003,5.00E+006,9.00E+003
I-131,1.10E-008,2.20E-008,5.00E+002,5.00E+005,8.00E+002
I-132,2.00E-010,2.90E-010,3.00E+004,3.00E+007,4.00E+004
I-132m,1.10E-010,2.20E-010,5.00E+004,5.00E+007,8.00E+004
I-133,2.10E-009,4.30E-009,2.00E+003,2.00E+006,4.00E+003
